,MODE,SYMBOL,TIME-OPEN,PRICE-OPEN,TIME-CLOSE,PRICE-CLOSE,RESULT
274,long,OXTUSDT,30:10:9:27,0.09650000,30:10:10:27,0.09660000,True
275,long,ADAUSDT,30:10:9:37,0.52950000,30:10:10:37,0.52920000,False
276,long,ATAUSDT,30:10:10:30,0.08900000,30:10:11:30,0.08900000,False
277,short,MTLUSDT,30:10:11:57,1.48500000,30:10:12:57,1.48500000,False
278,short,CTKUSDT,30:10:11:57,0.64930000,30:10:12:57,0.64960000,False
279,short,ATAUSDT,30:10:12:30,0.08900000,30:10:13:30,0.08950000,False
280,short,YGGUSDT,30:10:12:31,0.46390000,30:10:13:31,0.46440000,False
281,short,HOTUSDT,30:10:12:45,0.00194200,30:10:13:45,0.00194200,False
282,long,CTSIUSDT,30:10:14:15,0.24550000,30:10:15:15,0.24550000,False
283,long,DUSKUSDT,30:10:15:9,0.25590000,30:10:16:9,0.25610000,True
284,short,LITUSDT,30:10:15:33,0.82900000,30:10:16:33,0.82800000,True
285,short,RIFUSDT,30:10:15:58,0.13480000,30:10:16:58,0.13480000,False
286,short,INJUSDT,30:10:16:3,36.69000000,30:10:17:3,36.70000000,False
287,short,WAXPUSDT,30:10:17:7,0.05817000,30:10:18:7,0.05817000,False
288,long,DGBUSDT,30:10:17:15,0.00783000,30:10:18:15,0.00783000,False
289,short,IDEXUSDT,30:10:17:32,0.05062000,30:10:18:32,0.05062000,False
290,long,LSKUSDT,30:10:17:57,1.44700000,30:10:18:57,1.44500000,False
291,short,NMRUSDT,30:10:20:57,20.32000000,30:10:21:57,20.31000000,True
292,short,THETAUSDT,30:10:21:15,1.03800000,30:10:22:15,1.03900000,False
293,long,PEOPLEUSDT,30:10:21:20,0.02726000,30:10:22:20,0.02727000,True
294,long,KAVAUSDT,30:10:22:23,0.73400000,30:10:23:23,0.73400000,False
295,short,TLMUSDT,30:10:22:46,0.01397000,30:10:23:46,0.01396000,True
296,short,UNIUSDT,30:10:23:44,6.17700000,30:10:24:44,6.17200000,True
297,long,IOTAUSDT,30:10:23:52,0.25410000,30:10:24:52,0.25410000,False
298,long,HBARUSDT,30:10:24:14,0.07440000,30:10:25:14,0.07440000,False
299,long,GRTUSDT,30:10:24:31,0.16140000,30:10:25:31,0.16110000,False
300,long,BADGERUSDT,30:10:25:9,3.35700000,30:10:26:9,3.35300000,False
301,long,1000SATSUSDT,30:10:25:38,0.00050930,30:10:26:38,0.00050840,False
302,long,MAGICUSDT,30:10:25:40,1.14130000,30:10:26:40,1.14040000,False
303,long,IDUSDT,30:10:25:54,0.28955000,30:10:26:54,0.28938000,False
304,long,XLMUSDT,30:10:25:54,0.11590000,30:10:26:54,0.11580000,False
